st_text,ts,sub,frm,email,tag,mid,link
First opening,18-04-2026 02:13:15,Albany Dental Care P.C. — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,office@albanydentalcare.com,NA,<202604172124.50473444387@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:12,Albany Dental Care P.C. — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,office@albanydentalcare.com,NA,<202604172124.50473444387@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:10,Noticed something about 1330 Dental Associates's site,geri@smartflowdev.com,info@1330dental.com,NA,<202604172115.79237082334@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:10,Noticed something about Thrive Dental Studio's site,geri@smartflowdev.com,smile@thrivedentalstudio.com,NA,<202604172048.27031848147@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:09,Coastal Family Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@portlandmedentist.com,NA,<202604172058.78262267873@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:08,Noticed something about 1330 Dental Associates's site,geri@smartflowdev.com,info@1330dental.com,NA,<202604172115.79237082334@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:08,Honest question about Dr. Dental Dentistry &'s website,geri@smartflowdev.com,patientbilling@mydrdental.com,NA,<202604172131.73477903971@smtp-relay.mailin.fr>,NA
Delivered,18-04-2026 02:13:08,Honest question about Portland Dental Health Care's website,geri@smartflowdev.com,dentalfloss12@gmail.com,NA,<202604172106.77188379725@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:07,Noticed something about Thrive Dental Studio's site,geri@smartflowdev.com,smile@thrivedentalstudio.com,NA,<202604172048.27031848147@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:07,Albany Dental Care P.C. — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,office@albanydentalcare.com,NA,<202604172124.50473444387@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:07,Coastal Family Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@portlandmedentist.com,NA,<202604172058.78262267873@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:07,Honest question about Dr. Dental Dentistry &'s website,geri@smartflowdev.com,patientbilling@mydrdental.com,NA,<202604172131.73477903971@smtp-relay.mailin.fr>,NA
Sent,18-04-2026 02:13:07,Honest question about Portland Dental Health Care's website,geri@smartflowdev.com,dentalfloss12@gmail.com,NA,<202604172106.77188379725@smtp-relay.mailin.fr>,NA
Loaded by proxy,18-04-2026 01:46:06,Lamber Goodnow Injury Lawyers — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,mlamber@fennemorelaw.com,NA,<202604171545.49851749726@smtp-relay.mailin.fr>,NA
Loaded by proxy,18-04-2026 00:30:31,My honest take on The Dental Loft's website,studio@smartflowdev.com,admin@thedentalloftme.com,NA,<202604171627.69587996265@smtp-relay.mailin.fr>,NA
Loaded by proxy,17-04-2026 23:28:34,Honest question about Law Office Of Frank's website,geri@smartflowdev.com,frank@thefernandezfirm.com,NA,<202604171547.89895598101@smtp-relay.mailin.fr>,NA
Soft bounce,17-04-2026 22:56:11,Noticed something about Parramatta Green Dental's site,geri@smartflowdev.com,info@deeppink-woodcock-185192.hostingersite.com,NA,<202604170520.24060026696@smtp-relay.mailin.fr>,NA
Soft bounce,17-04-2026 22:56:01,Noticed something about Dentists Manly Dr. Pechar's site,geri@smartflowdev.com,contact@dentistsmanly.com.au,NA,<202604170520.54585393272@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 22:38:11,Honest question about The Dental Loft's website,geri@smartflowdev.com,admin@thedentalloftme.com,NA,<202604172038.98266926016@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 22:38:02,Honest question about The Dental Loft's website,geri@smartflowdev.com,admin@thedentalloftme.com,NA,<202604172038.98266926016@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 22:32:03,Associates In Dentistry — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,aident@kropfdental.com,NA,<202604172031.82525840176@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 22:31:58,Associates In Dentistry — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,aident@kropfdental.com,NA,<202604172031.82525840176@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 22:31:52,Associates In Dentistry — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,aident@kropfdental.com,NA,<202604172031.82525840176@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 22:27:07,Noticed something about Maine Dentistry's site,geri@smartflowdev.com,info@mdauburn.com,NA,<202604172027.81490763125@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 22:27:06,Noticed something about Maine Dentistry's site,geri@smartflowdev.com,info@mdauburn.com,NA,<202604172027.81490763125@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 22:19:19,Honest question about Colchester Dental Group's website,geri@smartflowdev.com,colchesterdental106@gmail.com,NA,<202604172019.38641937996@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 22:19:18,Honest question about Colchester Dental Group's website,geri@smartflowdev.com,colchesterdental106@gmail.com,NA,<202604172019.38641937996@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 22:11:16,Champlain Smile Solutions — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,office@champlainsmilesolutions.com,NA,<202604172011.83697705144@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 22:11:14,Champlain Smile Solutions — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,office@champlainsmilesolutions.com,NA,<202604172011.83697705144@smtp-relay.mailin.fr>,NA
Blocked,17-04-2026 21:59:19,Noticed something about Champlain Dental Group's site,geri@smartflowdev.com,pcompanion@champlaindentalgroup.com,NA,<202604171959.55157210044@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:59:19,Noticed something about Champlain Dental Group's site,geri@smartflowdev.com,pcompanion@champlaindentalgroup.com,NA,<202604171959.55157210044@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:49:28,Honest question about Amazing Smiles Inc Dr.'s website,geri@smartflowdev.com,office@bradkklinedmd.com,NA,<202604171949.82574510060@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:49:27,Honest question about Amazing Smiles Inc Dr.'s website,geri@smartflowdev.com,office@bradkklinedmd.com,NA,<202604171949.82574510060@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 21:42:43,Timberlane Adult Dentistry & — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,mailbox@timberlaneadultdentistry.com,NA,<202604171941.72699563207@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 21:42:43,Timberlane Adult Dentistry & — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,mailbox@timberlaneadultdentistry.com,NA,<202604171941.72699563207@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
First opening,17-04-2026 21:42:04,Timberlane Adult Dentistry & — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,mailbox@timberlaneadultdentistry.com,NA,<202604171941.72699563207@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:41:56,Timberlane Adult Dentistry & — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,mailbox@timberlaneadultdentistry.com,NA,<202604171941.72699563207@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:41:53,Timberlane Adult Dentistry & — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,mailbox@timberlaneadultdentistry.com,NA,<202604171941.72699563207@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:32:07,Noticed something about Catamount Family Dental PLC's site,geri@smartflowdev.com,office@catamountfamilydentalvt.com,NA,<202604171932.73542753324@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:32:05,Noticed something about Catamount Family Dental PLC's site,geri@smartflowdev.com,office@catamountfamilydentalvt.com,NA,<202604171932.73542753324@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:26:10,Honest question about 1st Advantage Dental's website,geri@smartflowdev.com,1stadcolonie@mydentalmail.com,NA,<202604171926.87279014550@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:26:07,Honest question about 1st Advantage Dental's website,geri@smartflowdev.com,1stadcolonie@mydentalmail.com,NA,<202604171926.87279014550@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:21:57,Chittenden Dental Wellness — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@chittendendental.com,NA,<202604171921.51197913868@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:21:55,Chittenden Dental Wellness — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@chittendendental.com,NA,<202604171921.51197913868@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 21:20:29,Noticed something about Colvin Avenue Dental's site,geri@smartflowdev.com,info@colvindental.com,NA,<202604171916.20693904044@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
First opening,17-04-2026 21:16:43,Noticed something about Colvin Avenue Dental's site,geri@smartflowdev.com,info@colvindental.com,NA,<202604171916.20693904044@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:16:39,Noticed something about Colvin Avenue Dental's site,geri@smartflowdev.com,info@colvindental.com,NA,<202604171916.20693904044@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:16:36,Noticed something about Colvin Avenue Dental's site,geri@smartflowdev.com,info@colvindental.com,NA,<202604171916.20693904044@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 21:10:47,Honest question about Willard Street Family Dental's website,geri@smartflowdev.com,aaamherst@yahoo.com,NA,<202604171910.54358092256@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 21:10:44,Honest question about Willard Street Family Dental's website,geri@smartflowdev.com,aaamherst@yahoo.com,NA,<202604171910.54358092256@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 20:59:26,Albany Group Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@albanygroupdental.com,NA,<202604171859.74350839539@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,17-04-2026 20:59:25,Albany Group Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@albanygroupdental.com,NA,<202604171859.74350839539@smtp-relay.mailin.fr>,https://smartflowdev.com
First opening,17-04-2026 20:59:12,Albany Group Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@albanygroupdental.com,NA,<202604171859.74350839539@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:59:07,Albany Group Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@albanygroupdental.com,NA,<202604171859.74350839539@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:59:04,Albany Group Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@albanygroupdental.com,NA,<202604171859.74350839539@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:53:46,Noticed something about Whitney M. Young Jr.'s site,geri@smartflowdev.com,info@wmyhealth.org,NA,<202604171853.32125203206@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:53:42,Noticed something about Whitney M. Young Jr.'s site,geri@smartflowdev.com,info@wmyhealth.org,NA,<202604171853.32125203206@smtp-relay.mailin.fr>,NA
Unsubscribed,17-04-2026 20:49:58,Honest question about Dental Wellness of Albany's website,geri@smartflowdev.com,651dental@gmail.com,NA,<202604171842.57419324079@smtp-relay.mailin.fr>,NA
Opened,17-04-2026 20:49:48,Honest question about Dental Wellness of Albany's website,geri@smartflowdev.com,651dental@gmail.com,NA,<202604171842.57419324079@smtp-relay.mailin.fr>,NA
Unsubscribed,17-04-2026 20:43:33,Honest question about Lawmans Solicitors's website,geri@smartflowdev.com,farul@lawmans.law,NA,<202604171628.37120162838@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 20:43:03,Honest question about Dental Wellness of Albany's website,geri@smartflowdev.com,651dental@gmail.com,NA,<202604171842.57419324079@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:42:57,Honest question about Dental Wellness of Albany's website,geri@smartflowdev.com,651dental@gmail.com,NA,<202604171842.57419324079@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:42:56,Honest question about Dental Wellness of Albany's website,geri@smartflowdev.com,651dental@gmail.com,NA,<202604171842.57419324079@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:33:44,Brighton Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@brightondc.com,NA,<202604171833.30609459606@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:33:42,Brighton Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@brightondc.com,NA,<202604171833.30609459606@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:21:58,Noticed something about Nickel City Dentistry's site,geri@smartflowdev.com,snyder@nickelcitydentistry.com,NA,<202604171821.52192337622@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:21:57,Noticed something about Nickel City Dentistry's site,geri@smartflowdev.com,snyder@nickelcitydentistry.com,NA,<202604171821.52192337622@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 20:18:07,Honest question about Winning Smiles's website,geri@smartflowdev.com,32009@nadentalgroup.com,NA,<202604171817.88154859768@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 20:18:07,Honest question about Winning Smiles's website,geri@smartflowdev.com,32009@nadentalgroup.com,NA,<202604171817.88154859768@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
First opening,17-04-2026 20:17:54,Honest question about Winning Smiles's website,geri@smartflowdev.com,32009@nadentalgroup.com,NA,<202604171817.88154859768@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:17:44,Honest question about Winning Smiles's website,geri@smartflowdev.com,32009@nadentalgroup.com,NA,<202604171817.88154859768@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:17:40,Honest question about Winning Smiles's website,geri@smartflowdev.com,32009@nadentalgroup.com,NA,<202604171817.88154859768@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:12:12,Silver Maple Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smiles@silvermaplerochester.com,NA,<202604171812.66695784151@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:12:09,Silver Maple Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smiles@silvermaplerochester.com,NA,<202604171812.66695784151@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:05:48,Noticed something about Christopher Santay DDS's site,geri@smartflowdev.com,info@drsantaydds.com,NA,<202604171805.20029384844@smtp-relay.mailin.fr>,NA
Blocked,17-04-2026 20:05:48,Noticed something about Christopher Santay DDS's site,geri@smartflowdev.com,info@drsantaydds.com,NA,<202604171805.20029384844@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 20:00:30,Honest question about Spinelli Dental's website,geri@smartflowdev.com,spinellidental@gmail.com,NA,<202604171800.29821937172@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 20:00:29,Honest question about Spinelli Dental's website,geri@smartflowdev.com,spinellidental@gmail.com,NA,<202604171800.29821937172@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 19:50:06,Full Heart Dentistry — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smiles@fullheartdentistry.com,NA,<202604171750.69966854737@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 19:50:01,Full Heart Dentistry — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smiles@fullheartdentistry.com,NA,<202604171750.69966854737@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 19:41:36,Noticed something about Gentle Dental Care of's site,geri@smartflowdev.com,contactus@rochestergentledentalpc.com,NA,<202604171741.15651388355@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 19:41:28,Noticed something about Gentle Dental Care of's site,geri@smartflowdev.com,contactus@rochestergentledentalpc.com,NA,<202604171741.15651388355@smtp-relay.mailin.fr>,NA
Loaded by proxy,17-04-2026 19:35:51,Honest question about Lawmans Solicitors's website,geri@smartflowdev.com,farul@lawmans.law,NA,<202604171628.37120162838@smtp-relay.mailin.fr>,NA
Loaded by proxy,17-04-2026 19:32:04,Park Place Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@parkplacedental.co.uk,NA,<202604171059.21965678649@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 19:07:31,Noticed something about Watermans Solicitors's site,geri@smartflowdev.com,info@watermans.co.uk,NA,<202604171632.65302793943@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 19:07:31,Noticed something about Watermans Solicitors's site,geri@smartflowdev.com,info@watermans.co.uk,NA,<202604171632.65302793943@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 19:07:31,Noticed something about Watermans Solicitors's site,geri@smartflowdev.com,info@watermans.co.uk,NA,<202604171632.65302793943@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 19:07:31,Noticed something about Watermans Solicitors's site,geri@smartflowdev.com,info@watermans.co.uk,NA,<202604171632.65302793943@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 18:40:35,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Opened,17-04-2026 18:38:24,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 18:36:18,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 18:36:18,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 18:36:16,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 18:36:16,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,https://smartflowdev.com
First opening,17-04-2026 18:36:05,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:35:58,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:35:39,Honest question about Band Hatton Button's website,geri@smartflowdev.com,info@bandhattonbutton.com,NA,<202604171634.97123350030@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 18:35:29,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 18:35:29,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
First opening,17-04-2026 18:35:25,Honest question about faMily law group's website,geri@smartflowdev.com,mail@familylawgroup.co.uk,NA,<202604171634.90183670981@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:35:19,Honest question about faMily law group's website,geri@smartflowdev.com,mail@familylawgroup.co.uk,NA,<202604171634.90183670981@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:35:17,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:35:12,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:34:56,Brodies — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,mailbox@brodies.com,NA,<202604171633.87838167950@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:56,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,NA
Deferred,17-04-2026 18:34:56,Honest question about Hunt & Coombs Solicitors's website,geri@smartflowdev.com,info@hcsolicitors.co.uk,NA,<202604171634.69251550253@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:34:52,Brodies — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,mailbox@brodies.com,NA,<202604171633.87838167950@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:34:51,Blackwood Partners LLP — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,alastair.wyper@blackwood-partners.com,NA,<202604171634.42105995155@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:34:50,Blackwood Partners LLP — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,alastair.wyper@blackwood-partners.com,NA,<202604171634.42105995155@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 18:34:50,Honest question about The Upper Tribunal's website,geri@smartflowdev.com,adminappeals@justice.gov.uk,NA,<202604171633.10750035135@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 18:34:49,Honest question about The Upper Tribunal's website,geri@smartflowdev.com,adminappeals@justice.gov.uk,NA,<202604171633.10750035135@smtp-relay.mailin.fr>,https://smartflowdev.com
Sent,17-04-2026 18:34:49,Blackwood Partners LLP — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,alastair.wyper@blackwood-partners.com,NA,<202604171634.42105995155@smtp-relay.mailin.fr>,NA
Clicked,17-04-2026 18:34:49,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Clicked,17-04-2026 18:34:49,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 18:34:49,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,17-04-2026 18:34:49,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,https://smartflowdev.com/lawyer
Delivered,17-04-2026 18:34:44,Noticed something about Connell and Connell WS's site,geri@smartflowdev.com,enquiries@connellws.co.uk,NA,<202604171634.25122353601@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:43,Noticed something about Connell and Connell WS's site,geri@smartflowdev.com,enquiries@connellws.co.uk,NA,<202604171634.25122353601@smtp-relay.mailin.fr>,NA
Deferred,17-04-2026 18:34:37,Honest question about Band Hatton Button's website,geri@smartflowdev.com,info@bandhattonbutton.com,NA,<202604171634.97123350030@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:36,Honest question about Band Hatton Button's website,geri@smartflowdev.com,info@bandhattonbutton.com,NA,<202604171634.97123350030@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:34:30,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:29,James & George Collie — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@jgcollie.co.uk,NA,<202604171634.55708294170@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:34:29,Noticed something about Oslers Solicitors's site,geri@smartflowdev.com,cambs@oslers.co.uk,NA,<202604171634.97948816922@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:34:24,Noticed something about Oslers Solicitors's site,geri@smartflowdev.com,cambs@oslers.co.uk,NA,<202604171634.97948816922@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:23,Noticed something about Oslers Solicitors's site,geri@smartflowdev.com,cambs@oslers.co.uk,NA,<202604171634.97948816922@smtp-relay.mailin.fr>,NA
Deferred,17-04-2026 18:34:18,Honest question about faMily law group's website,geri@smartflowdev.com,mail@familylawgroup.co.uk,NA,<202604171634.90183670981@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:34:17,Honest question about The Upper Tribunal's website,geri@smartflowdev.com,adminappeals@justice.gov.uk,NA,<202604171633.10750035135@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:17,Honest question about faMily law group's website,geri@smartflowdev.com,mail@familylawgroup.co.uk,NA,<202604171634.90183670981@smtp-relay.mailin.fr>,NA
Deferred,17-04-2026 18:34:11,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:10,Patience and Buchan — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,enquiries@thorntons-law.co.uk,NA,<202604171634.47326556489@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:34:08,Noticed something about Wilsone Duffus's site,geri@smartflowdev.com,info@wilsoneduffus.co.uk,NA,<202604171634.44992738745@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:34:03,Noticed something about Wilsone Duffus's site,geri@smartflowdev.com,info@wilsoneduffus.co.uk,NA,<202604171634.44992738745@smtp-relay.mailin.fr>,NA
First opening,17-04-2026 18:33:58,Thorntons Law LLP — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,edinburgh@thorntons-law.co.uk,NA,<202604171632.97208137610@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:33:58,Honest question about Mackinnons's website,geri@smartflowdev.com,aberdeen@mackinnons.com,NA,<202604171633.23484585332@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:33:56,Honest question about Mackinnons's website,geri@smartflowdev.com,aberdeen@mackinnons.com,NA,<202604171633.23484585332@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:33:53,Thorntons Law LLP — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,edinburgh@thorntons-law.co.uk,NA,<202604171632.97208137610@smtp-relay.mailin.fr>,NA
Deferred,17-04-2026 18:33:51,Brodies — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,mailbox@brodies.com,NA,<202604171633.87838167950@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:33:50,Brodies — what happens when a client visits your site at 11pm?,geri@smartflowdev.com,mailbox@brodies.com,NA,<202604171633.87838167950@smtp-relay.mailin.fr>,NA
Delivered,17-04-2026 18:33:47,Noticed something about McIntosh Family Law's site,geri@smartflowdev.com,wendy@mcintoshfamilylaw.com,NA,<202604171633.89661171641@smtp-relay.mailin.fr>,NA
Sent,17-04-2026 18:33:43,Noticed something about McIntosh Family Law's site,geri@smartflowdev.com,wendy@mcintoshfamilylaw.com,NA,<202604171633.89661171641@smtp-relay.mailin.fr>,NA
